X,y,w,ids
CC(C)NC(=O)Nc1ccc(C(=O)N(C)C[C@@H](O)C(F)(F)F)cc1,2.212,1.0,CC(C)NC(=O)Nc1ccc(C(=O)N(C)C[C@@H](O)C(F)(F)F)cc1
COC[C@](C)(CC(=O)O)NC[C@H](O)c1ccc(F)cc1C,1.6369999999999998,1.0,COC[C@](C)(CC(=O)O)NC[C@H](O)c1ccc(F)cc1C
C#C[C@@H](NC(=O)CNc1cccc(C(F)(F)F)c1)C(C)C,2.891,1.0,C#C[C@@H](NC(=O)CNc1cccc(C(F)(F)F)c1)C(C)C
C[C@H](C#N)CN(C)C(=O)C(=O)Nc1ccccc1OC(F)(F)F,2.142,1.0,C[C@H](C#N)CN(C)C(=O)C(=O)Nc1ccccc1OC(F)(F)F
CCOCCN(CC)C(=O)Nc1ccc(C(=O)CC)cc1,3.17,1.0,CCOCCN(CC)C(=O)Nc1ccc(C(=O)CC)cc1
CCNC(=S)N(Cc1ccc([N+](=O)[O-])cc1)C(C)C,2.7,1.0,CCNC(=S)N(Cc1ccc([N+](=O)[O-])cc1)C(C)C
CC(=O)NCC[C@@H](C)NCc1ccccc1Cl,2.344,1.0,CC(=O)NCC[C@@H](C)NCc1ccccc1Cl
CNC(=O)CCNC(=O)NCCS(=O)(=O)Cc1ccccc1,0.037,1.0,CNC(=O)CCNC(=O)NCCS(=O)(=O)Cc1ccccc1
Cc1ccc(S(=O)(=O)CC(O)(C(C)C)C(C)C)cc1,2.812,1.0,Cc1ccc(S(=O)(=O)CC(O)(C(C)C)C(C)C)cc1
CC[C@@H](c1ccccc1)S(=O)(=O)NC(=O)CCCC(F)(F)F,3.3160000000000003,1.0,CC[C@@H](c1ccccc1)S(=O)(=O)NC(=O)CCCC(F)(F)F
CC[C@@H](C)C[C@H](CO)NC(=O)c1cc(C)c(OC)c(C)c1,2.839,1.0,CC[C@@H](C)C[C@H](CO)NC(=O)c1cc(C)c(OC)c(C)c1
COC(=O)[C@H](C)CNC(=O)Nc1ccc(CC(=O)N(C)C)cc1,1.248,1.0,COC(=O)[C@H](C)CNC(=O)Nc1ccc(CC(=O)N(C)C)cc1
COC(=O)[C@](C)(O)CNC(=O)Cc1ccc(F)cc1,0.408,1.0,COC(=O)[C@](C)(O)CNC(=O)Cc1ccc(F)cc1
CCCCN(CCCO)Cc1ccc(C(=O)OC)c(C)c1,2.766,1.0,CCCCN(CCCO)Cc1ccc(C(=O)OC)c(C)c1
CN(CCC(C)(C)C)C(=O)CNC(=O)c1cccc(F)c1,2.45,1.0,CN(CCC(C)(C)C)C(=O)CNC(=O)c1cccc(F)c1
CC(C)(CO)CNc1ccccc1S(=O)(=O)C(F)F,2.113,1.0,CC(C)(CO)CNc1ccccc1S(=O)(=O)C(F)F
Cc1c(C#N)cccc1NC(=O)N(C)CCCOC(C)C,3.1460000000000004,1.0,Cc1c(C#N)cccc1NC(=O)N(C)CCCOC(C)C
CC[C@@H](N[C@@H](C)CCc1ccccc1[N+](=O)[O-])C(=O)O,2.369,1.0,CC[C@@H](N[C@@H](C)CCc1ccccc1[N+](=O)[O-])C(=O)O
COc1cc(C)c(OC[C@H](O)COC(C)C)c(C)c1,2.477,1.0,COc1cc(C)c(OC[C@H](O)COC(C)C)c(C)c1
CC(=O)N(C)CC(=O)N[C@@H](CO)Cc1ccc(C)c(C)c1,0.8009999999999999,1.0,CC(=O)N(C)CC(=O)N[C@@H](CO)Cc1ccc(C)c(C)c1
CCC[C@@H](OC)C(=O)NC[C@H](C)Cc1ccc(OC)cc1,2.805,1.0,CCC[C@@H](OC)C(=O)NC[C@H](C)Cc1ccc(OC)cc1
CNC(=O)c1ccc(NC(=O)C(=O)NC(CO)CO)cc1,-1.546,1.0,CNC(=O)c1ccc(NC(=O)C(=O)NC(CO)CO)cc1
COCCN(C)Cc1cc(C(F)(F)F)ccc1C,3.092,1.0,COCCN(C)Cc1cc(C(F)(F)F)ccc1C
COCCOCC(=O)NCCNC/C=C/c1ccccc1,1.069,1.0,COCCOCC(=O)NCCNC/C=C/c1ccccc1
C[C@@H](c1ccc(Cl)cc1Cl)N(C)C(=O)C(=O)N(C)CCCF,3.3310000000000004,1.0,C[C@@H](c1ccc(Cl)cc1Cl)N(C)C(=O)C(=O)N(C)CCCF
CCOCCN[C@@H](COCc1ccccc1)C(C)C,2.854,1.0,CCOCCN[C@@H](COCc1ccccc1)C(C)C
CCC(C)(C)NC(=O)[C@@H](C)OC(=O)CCOc1cccc(C)c1,3.0,1.0,CCC(C)(C)NC(=O)[C@@H](C)OC(=O)CCOc1cccc(C)c1
CCN(CCOC)CCC(=O)Nc1ccccc1SC,2.705,1.0,CCN(CCOC)CCC(=O)Nc1ccccc1SC
CO[C@@H](C(=O)N[C@@](C)(C(N)=O)C(C)C)c1ccc(F)cc1,1.529,1.0,CO[C@@H](C(=O)N[C@@](C)(C(N)=O)C(C)C)c1ccc(F)cc1
CC(C)(C)SCCNC(=O)c1cccc(NC(=O)O)c1,3.0380000000000003,1.0,CC(C)(C)SCCNC(=O)c1cccc(NC(=O)O)c1
CNC(=O)CNCc1ccc(CNC(=O)[C@@H](C)C(C)(F)F)c(F)c1,1.569,1.0,CNC(=O)CNCc1ccc(CNC(=O)[C@@H](C)C(C)(F)F)c(F)c1
CCN(CC)C(=O)CNC(=O)c1ccc(CNC(N)=O)cc1,0.453,1.0,CCN(CC)C(=O)CNC(=O)c1ccc(CNC(N)=O)cc1
C[C@H](C(=O)NCCNCCO)c1ccc(F)cc1F,0.7659999999999999,1.0,C[C@H](C(=O)NCCNCCO)c1ccc(F)cc1F
COc1cccc(C(=O)O[C@H](C(=O)NC(N)=O)C(C)C)c1[N+](=O)[O-],0.98,1.0,COc1cccc(C(=O)O[C@H](C(=O)NC(N)=O)C(C)C)c1[N+](=O)[O-]
Cc1ccc(Cl)c(O[C@@H](C)C(=O)N(CCN(C)C)C(C)C)c1,3.214,1.0,Cc1ccc(Cl)c(O[C@@H](C)C(=O)N(CCN(C)C)C(C)C)c1
CC[C@@H](CC#N)NC[C@@H](C)Cc1ccc(OC)c(F)c1,3.295,1.0,CC[C@@H](CC#N)NC[C@@H](C)Cc1ccc(OC)c(F)c1
COC[C@@H](C)CNC(=O)c1ccc(Br)cc1Cl,3.115,1.0,COC[C@@H](C)CNC(=O)c1ccc(Br)cc1Cl
CC(C)CCOCCOC(=O)c1c(F)cc(N)cc1F,2.767,1.0,CC(C)CCOCCOC(=O)c1c(F)cc(N)cc1F
CSCCC(=O)NCCNCc1ccc(C(F)(F)F)cc1,2.664,1.0,CSCCC(=O)NCCNCc1ccc(C(F)(F)F)cc1
CN(CCCNC(=O)CCCF)c1ccc([N+](=O)[O-])cc1,2.287,1.0,CN(CCCNC(=O)CCCF)c1ccc([N+](=O)[O-])cc1
CC[C@H](CCO)CNC(=O)c1cc(F)cc(Cl)c1O,2.323,1.0,CC[C@H](CCO)CNC(=O)c1cc(F)cc(Cl)c1O
CCC[C@H](O)CCNC(=O)Nc1ccc(N(C)C)c(F)c1,2.564,1.0,CCC[C@H](O)CCNC(=O)Nc1ccc(N(C)C)c(F)c1
O=C(CS(=O)(=O)CCO)NCc1ccccc1F,-0.151,1.0,O=C(CS(=O)(=O)CCO)NCc1ccccc1F
CON(C(=O)c1ccc(C)c(C#N)c1)[C@H](C)C(=O)O,1.3430000000000002,1.0,CON(C(=O)c1ccc(C)c(C#N)c1)[C@H](C)C(=O)O
Cc1cc(NC(=O)C(=O)N(C)C[C@H](C)N)ccc1C(N)=O,-0.162,1.0,Cc1cc(NC(=O)C(=O)N(C)C[C@H](C)N)ccc1C(N)=O
Cc1c(N)cccc1NC(=O)NCCCN(C(C)C)C(C)C,3.208,1.0,Cc1c(N)cccc1NC(=O)NCCCN(C(C)C)C(C)C
C[C@H](CC(N)=O)NS(=O)(=O)c1ccc(C(N)=O)cc1,-0.672,1.0,C[C@H](CC(N)=O)NS(=O)(=O)c1ccc(C(N)=O)cc1
CC[C@H](CNC(=O)[C@@](C)(O)COC)Oc1ccccc1C,1.666,1.0,CC[C@H](CNC(=O)[C@@](C)(O)COC)Oc1ccccc1C
Cc1c(Cl)cccc1C(=O)NC[C@@H](C)CN(C)C,2.576,1.0,Cc1c(Cl)cccc1C(=O)NC[C@@H](C)CN(C)C
C=C(C)CN(CC)C(=O)CN[C@H](COC)c1ccc(Cl)cc1,3.042,1.0,C=C(C)CN(CC)C(=O)CN[C@H](COC)c1ccc(Cl)cc1
C#CCC(C)(C)C(=O)NCCCCOc1ccc(C)cc1,3.32,1.0,C#CCC(C)(C)C(=O)NCCCCOc1ccc(C)cc1
CC(C)OC[C@@H](O)CNc1ccc(Br)c(F)c1F,2.925,1.0,CC(C)OC[C@@H](O)CNc1ccc(Br)c(F)c1F
O=C(O)c1ccc(CNCCCCO)cc1Br,2.009,1.0,O=C(O)c1ccc(CNCCCCO)cc1Br
C#CCNC(=S)Nc1ccc(OCCC(C)C)cc1,3.031,1.0,C#CCNC(=S)Nc1ccc(OCCC(C)C)cc1
CCCCOCC(=O)N(C)Cc1ccc(Cl)c(F)c1,3.254,1.0,CCCCOCC(=O)N(C)Cc1ccc(Cl)c(F)c1
CCN(CC(=O)NCc1ccc(Cl)cc1)CC(F)(F)F,2.84,1.0,CCN(CC(=O)NCc1ccc(Cl)cc1)CC(F)(F)F
CSCCCOC(=O)CNC(=O)OCc1ccccc1,2.209,1.0,CSCCCOC(=O)CNC(=O)OCc1ccccc1
CC[C@H](C)N(CC(=O)OC)Cc1ccc(F)cc1Br,3.362,1.0,CC[C@H](C)N(CC(=O)OC)Cc1ccc(F)cc1Br
CC[C@H](C)CC(=O)N[C@H](C)[C@H](c1ccccc1)N(C)C,3.23,1.0,CC[C@H](C)CC(=O)N[C@H](C)[C@H](c1ccccc1)N(C)C
CNC(=O)CCN(C)C(=O)c1ccc(CS(=O)(=O)C(F)F)cc1,1.032,1.0,CNC(=O)CCN(C)C(=O)c1ccc(CS(=O)(=O)C(F)F)cc1
CCc1ccc(NC(=O)[C@@H](C)CC(F)F)cc1OC,3.487,1.0,CCc1ccc(NC(=O)[C@@H](C)CC(F)F)cc1OC
C[C@H](N)CNC(=O)C(F)(F)c1cccc(Cl)c1,1.895,1.0,C[C@H](N)CNC(=O)C(F)(F)c1cccc(Cl)c1
O=C(Cc1ccc(F)cc1F)OCCCCCF,3.19,1.0,O=C(Cc1ccc(F)cc1F)OCCCCCF
COC(=O)CCCN(C)C(=O)Cc1ccc(C)c(Br)c1,2.712,1.0,COC(=O)CCCN(C)C(=O)Cc1ccc(C)c(Br)c1
CCCC[C@@H](CNCC)NC(=O)c1ccc(C)cc1F,3.032,1.0,CCCC[C@@H](CNCC)NC(=O)c1ccc(C)cc1F
COC(=O)[C@@H](C)S(=O)(=O)NC(=O)CCc1ccccc1C(=O)O,0.325,1.0,COC(=O)[C@@H](C)S(=O)(=O)NC(=O)CCc1ccccc1C(=O)O
COC(=O)CN(CC#N)CCOc1ccc(C(=O)OC)cc1Cl,1.504,1.0,COC(=O)CN(CC#N)CCOc1ccc(C(=O)OC)cc1Cl
CC[C@H](COCC(F)(F)F)NC(=O)Nc1ccc(C(N)=O)c(C)c1,2.573,1.0,CC[C@H](COCC(F)(F)F)NC(=O)Nc1ccc(C(N)=O)c(C)c1
CC(C)OCCN(C)Cc1ccc([S@](C)=O)cc1,2.281,1.0,CC(C)OCCN(C)Cc1ccc([S@](C)=O)cc1
CCNC(=O)[C@@H](C)NC(=O)c1cccc([N+](=O)[O-])c1Cl,1.503,1.0,CCNC(=O)[C@@H](C)NC(=O)c1cccc([N+](=O)[O-])c1Cl
C=C(Cl)CNS(=O)(=O)c1ccc(OC)c(Cl)c1,2.379,1.0,C=C(Cl)CNS(=O)(=O)c1ccc(OC)c(Cl)c1
CCNC(=O)CN[C@H](C)CNC(=O)c1ccc(COC)cc1,0.677,1.0,CCNC(=O)CN[C@H](C)CNC(=O)c1ccc(COC)cc1
Cc1ccc([N+](=O)[O-])c(S(=O)(=O)N[C@](C)(C(N)=O)C(C)C)c1C,1.39,1.0,Cc1ccc([N+](=O)[O-])c(S(=O)(=O)N[C@](C)(C(N)=O)C(C)C)c1C
CCC[C@H](C)CC(=O)NCCN(C)C(=O)c1cccc(C)c1,3.01,1.0,CCC[C@H](C)CC(=O)NCCN(C)C(=O)c1cccc(C)c1
Cc1cc(C)cc(CN(C)CCNC(=O)[C@H](C)C(C)C)c1,3.144,1.0,Cc1cc(C)cc(CN(C)CCNC(=O)[C@H](C)C(C)C)c1
CC(C)(C)NC(=O)COc1cccc(C(F)(F)F)c1,2.999,1.0,CC(C)(C)NC(=O)COc1cccc(C(F)(F)F)c1
COCCN(C)CCCNC(=O)NCc1ccc(C#N)c(Cl)c1,1.979,1.0,COCCN(C)CCCNC(=O)NCc1ccc(C#N)c(Cl)c1
CCC(=O)c1cccc(NC(=O)N[C@@H](CC(F)(F)F)C(=O)O)c1,2.806,1.0,CCC(=O)c1cccc(NC(=O)N[C@@H](CC(F)(F)F)C(=O)O)c1
CCN(Cc1cc(F)cc(C(C)=O)c1O)[C@H](C)C#N,2.468,1.0,CCN(Cc1cc(F)cc(C(C)=O)c1O)[C@H](C)C#N
CN(CC(=O)Nc1ccccc1Cl)C(=O)CCC(C)(C)N,2.254,1.0,CN(CC(=O)Nc1ccccc1Cl)C(=O)CCC(C)(C)N
CCCC[C@H](NCc1ccc(OCC)cc1O)C(=O)O,2.524,1.0,CCCC[C@H](NCc1ccc(OCC)cc1O)C(=O)O
CSCCCCCNC(=O)NC[C@@H](O)c1ccccc1C,2.861,1.0,CSCCCCCNC(=O)NC[C@@H](O)c1ccccc1C
C[C@@H](CCCCC(=O)O)NCc1ccc(F)cc1,2.949,1.0,C[C@@H](CCCCC(=O)O)NCc1ccc(F)cc1
CC[C@H](C)[C@H](NC(=O)c1cccc(C(F)F)c1)C(=O)O,2.853,1.0,CC[C@H](C)[C@H](NC(=O)c1cccc(C(F)F)c1)C(=O)O
COC(=O)Cc1cccc(C(=O)NCCCC(F)(F)F)c1,2.474,1.0,COC(=O)Cc1cccc(C(=O)NCCCC(F)(F)F)c1
CCN(CCCN(C)C)C(=O)/C=C(/C)c1ccccc1OC(F)F,3.492,1.0,CCN(CCCN(C)C)C(=O)/C=C(/C)c1ccccc1OC(F)F
CO[C@@H](CN)CC(=O)Nc1ccc(F)cc1OCC(F)F,1.7719999999999998,1.0,CO[C@@H](CN)CC(=O)Nc1ccc(F)cc1OCC(F)F
C[C@@H](CC(N)=O)NC(=O)Nc1ccc(N=S(C)(C)=O)cc1,1.431,1.0,C[C@@H](CC(N)=O)NC(=O)Nc1ccc(N=S(C)(C)=O)cc1
COC(=O)c1c(O)cccc1NC(=O)CNCCN,-0.334,1.0,COC(=O)c1c(O)cccc1NC(=O)CNCCN
COc1ccc(F)cc1C(=O)NC[C@](C)(CC(C)C)C(=O)O,2.701,1.0,COc1ccc(F)cc1C(=O)NC[C@](C)(CC(C)C)C(=O)O
COC(=O)CN(CCOc1ccccc1C(=O)O)CC(=O)OC,0.412,1.0,COC(=O)CN(CCOc1ccccc1C(=O)O)CC(=O)OC
C#C[C@@H](Oc1c(C)ccc(C)c1[N+](=O)[O-])C(=O)OCC,2.155,1.0,C#C[C@@H](Oc1c(C)ccc(C)c1[N+](=O)[O-])C(=O)OCC
C[C@@H](CO)CCCN[C@H](C)CCc1cccc(F)c1,3.145,1.0,C[C@@H](CO)CCCN[C@H](C)CCc1cccc(F)c1
Cc1ccc(C)c(CC(=O)NC[C@@H](C)NC(=O)[C@H](C)NC(N)=O)c1,0.524,1.0,Cc1ccc(C)c(CC(=O)NC[C@@H](C)NC(=O)[C@H](C)NC(N)=O)c1
CC(C)(C#N)CCCOC(=O)CCCc1ccccc1N,3.465,1.0,CC(C)(C#N)CCCOC(=O)CCCc1ccccc1N
CNC(=O)[C@H](C)NC(=O)[C@@H](C)Cc1ccccc1Cl,1.769,1.0,CNC(=O)[C@H](C)NC(=O)[C@@H](C)Cc1ccccc1Cl
COc1ccc(C)cc1[C@@H](C)NC(=O)NCC[C@@H](C)N(C)C,2.704,1.0,COc1ccc(C)cc1[C@@H](C)NC(=O)NCC[C@@H](C)N(C)C
CC(C)(C)NC(=O)c1cccc(NC(=O)C(C)(C)C)c1,3.2,1.0,CC(C)(C)NC(=O)c1cccc(NC(=O)C(C)(C)C)c1
COC(OC)C(=O)N(C)[C@H](C)Cc1ccc(O)cc1,1.401,1.0,COC(OC)C(=O)N(C)[C@H](C)Cc1ccc(O)cc1
CCS(=O)(=O)NCc1ccc(C(=O)N(C)CC(N)=O)cc1,-0.317,1.0,CCS(=O)(=O)NCc1ccc(C(=O)N(C)CC(N)=O)cc1
CCSCCCNC(=O)C(=O)N[C@@H](C)CCc1ccc(O)cc1,2.089,1.0,CCSCCCNC(=O)C(=O)N[C@@H](C)CCc1ccc(O)cc1
COC(=O)[C@H](NCCF)c1ccc(OC(F)F)cc1,2.061,1.0,COC(=O)[C@H](NCCF)c1ccc(OC(F)F)cc1
CC(C)c1cccc([C@H](C)N[C@H](C)C[S@@](C)=O)c1,3.228,1.0,CC(C)c1cccc([C@H](C)N[C@H](C)C[S@@](C)=O)c1
CCCCOc1cc(OC)ccc1C(=O)NC(C)(C)CCOC,3.419,1.0,CCCCOc1cc(OC)ccc1C(=O)NC(C)(C)CCOC
COCCOc1ccc(C(=O)N[C@@H](C)C[C@H](C)NCC(C)C)cc1,2.854,1.0,COCCOc1ccc(C(=O)N[C@@H](C)C[C@H](C)NCC(C)C)cc1
COC(=O)CN(CC(=O)OC)C(=O)[C@H](O)[C@@H](C)c1ccc(C)cc1,0.634,1.0,COC(=O)CN(CC(=O)OC)C(=O)[C@H](O)[C@@H](C)c1ccc(C)cc1
Cc1cc(C#N)ccc1COC(=O)[C@@H](C)NC(=O)CC(C)(C)C,2.8510000000000004,1.0,Cc1cc(C#N)ccc1COC(=O)[C@@H](C)NC(=O)CC(C)(C)C
CCN(C[C@@H](O)COC)[C@H](C)CNC(=O)c1cccc(C)c1Cl,2.096,1.0,CCN(C[C@@H](O)COC)[C@H](C)CNC(=O)c1cccc(C)c1Cl
C#Cc1ccc(NC(=O)C(=O)N[C@](C)(CC)CO)cc1,0.884,1.0,C#Cc1ccc(NC(=O)C(=O)N[C@](C)(CC)CO)cc1
COCc1cc(C#N)ccc1N[C@H](C)CCN(C)C,2.457,1.0,COCc1cc(C#N)ccc1N[C@H](C)CCN(C)C
COC(=O)[C@H](O)CNC(=O)CNC(=O)Cc1ccccc1,-1.005,1.0,COC(=O)[C@H](O)CNC(=O)CNC(=O)Cc1ccccc1
C[C@@](O)(CNc1cccc(F)c1[N+](=O)[O-])C(=O)O,0.981,1.0,C[C@@](O)(CNc1cccc(F)c1[N+](=O)[O-])C(=O)O
Cc1ccc(CNC(=O)COC(=O)[C@@H](C)C(C)(C)C)cc1,2.837,1.0,Cc1ccc(CNC(=O)COC(=O)[C@@H](C)C(C)(C)C)cc1
CC(C)c1ccc([C@H](NC(=O)CONC(=O)N(C)C)C(C)C)cc1,2.826,1.0,CC(C)c1ccc([C@H](NC(=O)CONC(=O)N(C)C)C(C)C)cc1
CCOCCCN(Cc1ccc(N(C)C)cc1)C[C@@H](C)C(=O)O,2.702,1.0,CCOCCCN(Cc1ccc(N(C)C)cc1)C[C@@H](C)C(=O)O
CC(=O)CCCOC(=O)CNc1ccc(C(F)(F)F)cc1[N+](=O)[O-],2.938,1.0,CC(=O)CCCOC(=O)CNc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
CCCC[C@H](COC)NC(=O)[C@@H](O)CCc1ccccc1,2.302,1.0,CCCC[C@H](COC)NC(=O)[C@@H](O)CCc1ccccc1
NC(=O)c1c(O)cccc1OC(=O)[C@@H](O)CC(=O)O,-0.768,1.0,NC(=O)c1c(O)cccc1OC(=O)[C@@H](O)CC(=O)O
CC[C@H](CC(C)C)C(=O)NCc1cc(C)ccc1O,3.389,1.0,CC[C@H](CC(C)C)C(=O)NCc1cc(C)ccc1O
C[C@H](N)[C@H](C)NS(=O)(=O)c1ccccc1S(=O)(=O)N(C)C,-0.049,1.0,C[C@H](N)[C@H](C)NS(=O)(=O)c1ccccc1S(=O)(=O)N(C)C
CCNC(=O)CCCC(=O)N[C@H](C)[C@H](O)Cc1ccccc1,1.401,1.0,CCNC(=O)CCCC(=O)N[C@H](C)[C@H](O)Cc1ccccc1
CC[C@@H](Cc1ccccc1C)C(=O)NCCCN[C@@H](C)COC,2.695,1.0,CC[C@@H](Cc1ccccc1C)C(=O)NCCCN[C@@H](C)COC
Cc1cccc(OCC(=O)N[C@@H](C)CCNC(=O)C[C@H](C)C(C)C)c1,3.067,1.0,Cc1cccc(OCC(=O)N[C@@H](C)CCNC(=O)C[C@H](C)C(C)C)c1
CC(C)CNC[C@H](C)NC(=O)c1ccc(F)cc1,2.19,1.0,CC(C)CNC[C@H](C)NC(=O)c1ccc(F)cc1
C=CC[C@@](C)(NC(=O)Cc1cccc(N(C)C)c1)C(=O)OC,1.919,1.0,C=CC[C@@](C)(NC(=O)Cc1cccc(N(C)C)c1)C(=O)OC
CC[C@@H](NS(=O)(=O)c1cc(C(C)(C)C)ccc1C)[C@H](C)O,2.73,1.0,CC[C@@H](NS(=O)(=O)c1cc(C(C)(C)C)ccc1C)[C@H](C)O
CCCC(=O)OCCOc1ccc(C(F)(F)F)cc1,3.428,1.0,CCCC(=O)OCCOc1ccc(C(F)(F)F)cc1
CCOC(=O)[C@@H](C)OC(=O)Cc1cc(Cl)ccc1Cl,3.031,1.0,CCOC(=O)[C@@H](C)OC(=O)Cc1cc(Cl)ccc1Cl
NCCC[C@H](NC[C@H](O)CO)C(=O)OCc1ccccc1,-0.22,1.0,NCCC[C@H](NC[C@H](O)CO)C(=O)OCc1ccccc1
Cc1cccc(OC[C@@H](O)CNCCNS(=O)(=O)N(C)C)c1,-0.28,1.0,Cc1cccc(OC[C@@H](O)CNCCNS(=O)(=O)N(C)C)c1
CN(CCN)CCNc1ccc([N+](=O)[O-])cc1C#N,0.769,1.0,CN(CCN)CCNc1ccc([N+](=O)[O-])cc1C#N
COC(=O)c1ccc(CCNC(=O)NCCCC(=O)O)c(OC)c1,1.188,1.0,COC(=O)c1ccc(CCNC(=O)NCCCC(=O)O)c(OC)c1
CCOC(=O)CNS(=O)(=O)Cc1ccccc1C(F)(F)F,1.6880000000000002,1.0,CCOC(=O)CNS(=O)(=O)Cc1ccccc1C(F)(F)F
CC(=O)Nc1cccc([C@@H](C)NC(=O)N(C)CCS(N)(=O)=O)c1,0.636,1.0,CC(=O)Nc1cccc([C@@H](C)NC(=O)N(C)CCS(N)(=O)=O)c1
CC[C@@H](C)CNC(=S)NCCCOc1ccc(F)cc1,3.105,1.0,CC[C@@H](C)CNC(=S)NCCCOc1ccc(F)cc1
CC[C@@H](C)[C@H](OC(=O)c1cc([N+](=O)[O-])ccc1Cl)C(=O)O,2.904,1.0,CC[C@@H](C)[C@H](OC(=O)c1cc([N+](=O)[O-])ccc1Cl)C(=O)O
NC(=O)NC(=O)CNc1ccc(C(N)=O)c(Cl)c1,0.046,1.0,NC(=O)NC(=O)CNc1ccc(C(N)=O)c(Cl)c1
CN(C[C@H](O)CO)C(=O)C(=O)Nc1ccc(F)c(C(N)=O)c1,-1.325,1.0,CN(C[C@H](O)CO)C(=O)C(=O)Nc1ccc(F)c(C(N)=O)c1
CC(C)(CCCO)CNC[C@H](O)Cc1cccc(Cl)c1,2.632,1.0,CC(C)(CCCO)CNC[C@H](O)Cc1cccc(Cl)c1
CCO[C@@H](C)C(=O)NC[C@@H](C)NC(=O)c1cccc(OC)c1F,1.494,1.0,CCO[C@@H](C)C(=O)NC[C@@H](C)NC(=O)c1cccc(OC)c1F
